,year,title,copyright,AU,SO
1092,2002,Evolutionary optimization in thermoelastic problems using the boundary element method,,"Burczynski, T|Dlugosz, A",COMPUTATIONAL MECHANICS
1099,2009,"Application of a level IV fugacity model to simulate the long-term fate of hexachlorocyclohexane isomers in the lower reach of Yellow River basin, China", Elsevier Ltd. All rights reserved.,"Ao, JT|Chen, JW|Tian, FL|Cai, XY",CHEMOSPHERE
1104,2012,GW vulnerability assessment based on entropy and fuzzy method,,"Zhang, BX|Yu, C|Meng, FH|Wan, L",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT
1107,2005,Modeling mercury fluxes and concentrations in a Georgia watershed receiving atmospheric deposition load from direct and indirect sources,,"Ambrose, RB|Tsiros, IX|Wool, TA",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
1109,2006,Parameter identification and sedative sensitivity analysis of an agitation-sedation model, (c) 2006 Elsevier Ireland Ltd. All rights reserved.,"Rudge, AD|Chase, JG|Shaw, GM|Lee, D|Hann, CE",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE
1116,2013,Atmospheric partitioning and the air-water exchange of polycyclic aromatic hydrocarbons in a large shallow Chinese lake (Lake Chaohu), Elsevier Ltd. All rights reserved.,"Qin, N|He, W|Kong, XZ|Liu, WX|He, QS|Yang, B|Ouyang, HL|Wang, QM|Xu, FL",CHEMOSPHERE
1128,2008,Application of neural networks for the prediction of total phosphorus concentrations in surface waters,,"Mozejko, J|Gniot, R",POLISH JOURNAL OF ENVIRONMENTAL STUDIES
1129,2017,"Vulnerability to Earthquake Hazard: Bucharest Case Study, Romania",,"Armas, I|Toma-Danila, D|Ionescu, R|Gavris, A",INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE
1131,2016,Quantifying Global Impacts to Society from the Consumption of Natural Resources during Environmental Remediation Activities,,"Harclerode, MA|Lal, P|Miller, ME",JOURNAL OF INDUSTRIAL ECOLOGY
1155,2010,Application of dynamic programming to evaluate the slope stability of a vertical extension to a balefill,,"Kremen, A|Tsompanakis, Y",WASTE MANAGEMENT & RESEARCH
1158,2016,A mathematical model for municipal solid waste management - A case study in Hong Kong, Elsevier Ltd. All rights reserved.,"Lee, CKM|Yeung, CL|Xiong, ZR|Chung, SH",WASTE MANAGEMENT
1173,2015,Stochastic comparative assessment of life-cycle greenhouse gas emissions from conventional and electric vehicles,,"Noshadravan, A|Cheah, L|Roth, R|Freire, F|Dias, L|Gregory, J",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1174,2013,Towards the stabilization of the low density elements in topology optimization with large deformation,,"Lahuerta, RD|Simoes, ET|Campello, EMB|Pimenta, PM|Silva, ECN",COMPUTATIONAL MECHANICS
1183,2016,Optimal dividend-financing strategies in a dual risk model with time-inconsistent preferences, (C) 2015 Elsevier B.V. All rights reserved.,"Chen, SM|Wang, X|Deng, YL|Zeng, Y",INSURANCE MATHEMATICS & ECONOMICS
1188,2014,Optimization of energy required and greenhouse gas emissions analysis for orange producers using data envelopment analysis approach, Elsevier Ltd. All rights reserved.,"Nabavi-Pelesaraei, A|Abdi, R|Rafiee, S|Mobtaker, HG",JOURNAL OF CLEANER PRODUCTION
1194,2017,Life cycle assessment of the hydrometallurgical zinc production chain in China, Elsevier Ltd. All rights reserved.,"Qi, CC|Ye, LP|Ma, XT|Yang, DL|Hong, JL",JOURNAL OF CLEANER PRODUCTION
1197,2017,Uncertainty Quantification for the Horseshoe (with Discussion) comment,,"Polson, NG",BAYESIAN ANALYSIS
1200,2012,Comprehensive analysis of flooding in unmanaged catchments,,"Akbari, GH|Barati, R",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT
1210,2015,Life cycle assessment of swine production in Brazil: a comparison of four manure management systems, Elsevier Ltd. All rights reserved.,"Cherubini, E|Zanghelini, GM|Alvarenga, RAF|Franco, D|Soares, SR",JOURNAL OF CLEANER PRODUCTION
1216,2017,Optimisation and targeting of supply-demand of biogas system through gas system cascade analysis (GASCA) framework, Elsevier Ltd. All rights reserved.,"Othman, MN|Lim, JS|Theo, WL|Hashim, H|Ho, WS",JOURNAL OF CLEANER PRODUCTION
1220,2003,A generalized global alignment algorithm,,"Huang, XQ|Chao, KM",BIOINFORMATICS
1223,2009,An asymmetric suboptimization approach to aerostructural optimization,,"Chittick, IR|Martins, JRRA",OPTIMIZATION AND ENGINEERING
1248,2004,Aquifer vulnerability to pesticide migration through till aquitards,,"Jorgensen, PR|McKay, LD|Kistrup, JP",GROUND WATER
1252,2006,The effects of copper on soil biochemical properties and its interaction with other heavy metals,,"Wyszkowska, J|Kucharski, J|Lajszner, W",POLISH JOURNAL OF ENVIRONMENTAL STUDIES
1253,2015,Evolving a Predator-Prey Ecosystem of Mathematical Expressions with Grammatical Evolution," (c) 2014 Wiley Periodicals, Inc. Complexity 20: 66-83, 2015","Alfonseca, M|Gil, FJS",COMPLEXITY
1276,2017,Sustainable decision-making through stochastic simulation: Transporting vs. recycling aggregates for Portland cement concrete in underground mining projects, Elsevier Ltd. All rights reserved.,"Gonzalez, M|Navarrete, I|Arroyo, P|Azua, G|Mena, J|Contreras, M",JOURNAL OF CLEANER PRODUCTION
1280,2004,Optimal but robust N and P removal in SBRs: a model-based systematic study of operation scenarios,,"Sin, G|Insel, G|Lee, DS|Vanrolleghern, PA",WATER SCIENCE AND TECHNOLOGY
1286,2002,"Studies of some biochemical changes in the tissues of Catla catla (Hamilton), Labeo rohita (Hamilton) and Cirrhinus mrigala (Hamilton) exposed to NH3-N, NO2-N and NO3-N",,"Tilak, KS|Veeraiah, K|Lakshmi, SJ",JOURNAL OF ENVIRONMENTAL BIOLOGY
1297,2005,Development and sensitivity of a method to select time- and flow-paced storm event sampling intervals for headwater streams,,"King, KW|Harmel, RD|Fausey, NR",JOURNAL OF SOIL AND WATER CONSERVATION
1302,2017,The sustainable future of hydropower: A critical analysis of cooling units via the Theory of Inventive Problem Solving and Life Cycle Assessment methods, Elsevier Ltd. All rights reserved.,"Mao, GZ|Wang, S|Teng, QZ|Zuo, J|Tan, X|Wang, HF|Liu, Z",JOURNAL OF CLEANER PRODUCTION
1303,2012,A Computational Inverse Technique for Uncertainty Quantification in an Encounter Condition Identification Problem,,"Zhangl, W|Han, X|Liu, J|Chen, R",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
1313,2016,A parametric whole life cost model for offshore wind farms,,"Shafiee, M|Brennan, F|Espinosa, IA",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1322,2004,Optimal management of the N-policy M/E-k/1 queuing system with a removable service station: a sensitivity investigation, Elsevier Ltd. All rights reserved.,"Pearn, WL|Chang, YC",COMPUTERS & OPERATIONS RESEARCH
1323,2006,Demand and adverse selection in a pooled annuity fund, (c) 2006 Elsevier B.V. All rights reserved.,"Valdez, EA|Piggott, J|Wang, L",INSURANCE MATHEMATICS & ECONOMICS
1324,2017,Environmental impact of cereal straw management: An on-farm assessment, Elsevier Ltd. All rights reserved.,"Palmieri, N|Forleo, MB|Giannoccaro, G|Suardi, A",JOURNAL OF CLEANER PRODUCTION
1328,2011,Development of Artificial Neural Network Based Metamodels for Inactivation of Anthrax Spores in Ventilated Spaces Using Computational Fluid Dynamics,,"Hoque, S|Farouk, B|Haas, CN",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
1329,2012,Capacity-constrained multiple-market price discrimination, Elsevier Ltd. All rights reserved.,"Zhang, B",COMPUTERS & OPERATIONS RESEARCH
1330,2007,On the treatment of uncertainties in structural mechanics and analysis, Elsevier Ltd. All rights reserved.,"Schueller, GI",COMPUTERS & STRUCTURES
1331,2016,Life cycle toxicity assessment on deep-brine well drilling, Elsevier Ltd. All rights reserved.,"Chen, W|Zhang, FF|Hong, JL|Shi, WX|Feng, ST|Tan, XF|Geng, Y",JOURNAL OF CLEANER PRODUCTION
1334,2017,A carbon-constrained stochastic optimization model with augmented multi-criteria scenario-based risk-averse solution for reverse logistics network design under uncertainty, Elsevier Ltd. All rights reserved.,"Yu, H|Solvang, WD",JOURNAL OF CLEANER PRODUCTION
1335,2017,Uncertainty Quantification for the Horseshoe (with Discussion) comment,,"Castillo, I",BAYESIAN ANALYSIS
1344,2014,Land use impacts on biodiversity from kiwifruit production in New Zealand assessed with global and national datasets,,"Coelho, CRV|Michelsen, O",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1346,2017,"Data uncertainties in material flow analysis: Municipal solid waste management system in Maputo City, Mozambique",,"dos Muchangos, LS|Tokai, A|Hanashima, A",WASTE MANAGEMENT & RESEARCH
1348,2004,"Development of probabilistic emission inventories of air toxics for Jacksonville, Florida",,"Zhao, YC|Frey, HC",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
1353,2017,"Characterization, quantification and management of China's municipal solid waste in spatiotemporal distributions: A review", Elsevier Ltd. All rights reserved.,"Gu, BX|Jiang, SQ|Wang, HK|Wang, ZB|Jia, RF|Yang, J|He, S|Cheng, R",WASTE MANAGEMENT
1357,2003,Uncertainty assessment by a Monte Carlo simulation in a life cycle inventory of electricity produced by a waste incinerator, (C) 2062 Elsevier Science Ltd. All rights reserved.,"Sonnemann, GW|Schuhmacher, M|Castells, F",JOURNAL OF CLEANER PRODUCTION
1368,2005,Gene selection through sensitivity analysis of support vector machines,,"Wang, DF|Yeung, DS|Tsang, ECC|Shi, L","COMPUTATIONAL LIFE SCIENCES, PROCEEDINGS"
1370,2015,Integrating sustainable manufacturing assessment into decision making for a production work cell, Elsevier Ltd. All rights reserved.,"Zhang, H|Haapala, KR",JOURNAL OF CLEANER PRODUCTION
1374,2013,Wind induced Buffeting Reliability of Long-span Cable-stayed Bridge using Stochastic Finite Element Method,,"Zhao, L|Yaojun, GE",DISASTER ADVANCES
1375,2013,Development of Patient Specific Cardiovascular Models Predicting Dynamics in Response to Orthostatic Stress Challenges,,"Ottesen, JT|Novak, V|Olufsen, MS",MATHEMATICAL MODELING AND VALIDATION IN PHYSIOLOGY: APPLICATIONS TO THE CARDIOVASCULAR AND RESPIRATORY SYSTEMS
1379,2016,Mathematical modeling and environmental analysis of heat pumps integrated in aprocess to treat spent pickling liquors, Elsevier Ltd. All rights reserved.,"Leonzio, G",JOURNAL OF CLEANER PRODUCTION
1381,2011,Application of adjoint CMAQ chemical transport model in the Athens greater area: sensitivities study on ozone concentrations,,"Andronopoulos, S|Sfetsos, A|Vlachogiannis, D|Yiotis, A|Gounaris, N",INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION
1382,2009,Automation of primal and sensitivity analysis of transient coupled problems,,"Korelc, J",COMPUTATIONAL MECHANICS
1385,2011,Parallel sensitivity analysis for efficient large-scale dynamic optimization,,"Hartwich, A|Stockmann, K|Terboven, C|Feuerriegel, S|Marquardt, W",OPTIMIZATION AND ENGINEERING
1389,2015,Multi-residue analysis of pharmaceuticals in wastewater by liquid chromatography-magnetic sector mass spectrometry: Method quality assessment and application in a Belgian case study, Elsevier Ltd. All rights reserved.,"Vergeynst, L|Haeck, A|De Wispelaere, P|Van Langenhove, H|Demeestere, K",CHEMOSPHERE
1403,2015,Technical applications of Jatropha oil-environmental effectiveness of renewable resources,,"Dettmer, T|Ibbotson, S|Ohlschlager, G|Herrmann, C|Kara, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1404,2009,Simultaneous sensitivity analysis for observational studies using full matching or matching with multiple controls,,"Small, D|Gastwirth, JL|Krieger, AM|Rosenbaum, PR",STATISTICS AND ITS INTERFACE
1421,2005,High-fidelity computational optimization for 3-d flexible wings: Part II - Effect of random geometric uncertainty on design,,"Gumbert, CR|Newman, PA|Hou, GIW",OPTIMIZATION AND ENGINEERING
1432,2011,Multi-criteria GIS-based siting of an incineration plant for municipal solid waste, Elsevier Ltd. All rights reserved.,"Tavares, G|Zsigraiova, Z|Semiao, V",WASTE MANAGEMENT
1433,2015,Towards more accurate life cycle assessment of biological wastewater treatment plants: a review, Elsevier Ltd. All rights reserved.,"Zang, YW|Li, Y|Wang, C|Zhang, WL|Xiong, W",JOURNAL OF CLEANER PRODUCTION
1440,2013,Modeling CO2 Release Experiment in the Shallow Subsurface and Sensitivity Analysis,,"Yang, CB|Romanak, K|Hovorka, S|Triveno, R",ENVIRONMENTAL & ENGINEERING GEOSCIENCE
1442,2014,Cancer risk of polycyclic aromatic hydrocarbons (PAHs) in the soils from Jiaozhou Bay wetland, Elsevier Ltd. All rights reserved.,"Yang, W|Lang, YH|Li, GL",CHEMOSPHERE
1443,2010,MEXALCA: a modular method for the extrapolation of crop LCA,,"Roches, A|Nemecek, T|Gaillard, G|Plassmann, K|Sim, S|King, H|Canals, LMI",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1462,2016,Identifiability of Large Nonlinear Biochemical Networks,,"Villaverde, AF|Barreiro, A",MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY
1468,2017,Chromatin accessibility prediction via convolutional long short-term memory networks with k-mer embedding,,"Min, X|Zeng, WW|Chen, N|Chen, T|Jiang, R",BIOINFORMATICS
1480,2010,Uncertainty analysis of thermo-hydro-mechanical coupled processes in heterogeneous porous media,,"Watanabe, N|Wang, WQ|McDermott, CI|Taniguchi, T|Kolditz, O",COMPUTATIONAL MECHANICS
1486,2000,"The practice of exposure assessment: A state-of-the-art review (Reprinted from Principles and Methods of Toxicology, 4th edition, 2001)",,"Paustenbach, DJ",JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS
1488,2014,An environmental impact comparison of single-use and reusable thermally controlled shipping containers,,"Goellner, KN|Sparrow, E",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1492,2015,Accounting for model sensitivity in controlled (log)Gaussian geostatistical simulation, (C) 2015 Elsevier B.V. All rights reserved.,"Liodakis, S|Kyriakidis, P|Gaganis, P",SPATIAL STATISTICS
1497,2011,Spatial distribution of soil heavy metal pollution estimated by different interpolation methods: Accuracy and uncertainty analysis, Elsevier Ltd. All rights reserved.,"Xie, YF|Chen, TB|Lei, M|Yang, J|Guo, QJ|Song, B|Zhou, XY",CHEMOSPHERE
1501,2017,Water footprint of feed required by farmed fish in China based on a Monte Carlo-supported von Bertalanffy growth model: A policy implication, Elsevier Ltd. All rights reserved.,"Yuan, Q|Song, GB|Fullana-I-Palmer, P|Wang, YX|Semakula, HM|Mekonnen, MM|Zhang, SS",JOURNAL OF CLEANER PRODUCTION
1509,2015,Estimation of greenhouse gas emissions from a hybrid wastewater treatment plant, Elsevier Ltd. All rights reserved.,"Kyung, D|Kim, M|Chang, J|Lee, W",JOURNAL OF CLEANER PRODUCTION
1512,2016,Carrying capacity of US agricultural land: Ten diet scenarios,,"Peters, CJ|Picardy, J|Darrouzet-Nardi, AF|Wilkins, JL|Griffin, TS|Fick, GW",ELEMENTA-SCIENCE OF THE ANTHROPOCENE
1519,2008,Conceptual modeling to optimize the haul and transfer of municipal solid waste, Elsevier Ltd. All rights reserved.,"Komilis, DP",WASTE MANAGEMENT
1536,2000,Sensitivity of water quality model results for the Dutch coastal zone to the distribution coefficient of cadmium, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Stolwijk, S|Ramaker, CM|Laane, RWPM",SPILL SCIENCE & TECHNOLOGY BULLETIN
1564,2014,Electric bike sharing: simulation of user demand and system availability, Elsevier Ltd. All rights reserved.,"Ji, SG|Cherry, CR|Han, LD|Jordan, DA",JOURNAL OF CLEANER PRODUCTION
1584,2017,Parameter sensitivity analysis of a 5-DoF parallel manipulator,,"Lian, BB|Sun, T|Song, YM",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING
1590,2014,Life cycle assessment of energy from waste via anaerobic digestion: A UK case study, Elsevier Ltd. All rights reserved.,"Evangelisti, S|Lettieri, P|Borello, D|Clift, R",WASTE MANAGEMENT
1598,2015,Waste reduction algorithm applied for environmental impact assessment of coal gasification with carbon capture and storage, Elsevier Ltd. rights reserved.,"Petrescu, L|Cormos, CC",JOURNAL OF CLEANER PRODUCTION
1603,2012,An ecoprofile of thermoplastic protein derived from blood meal Part 2: thermoplastic processing,,"Bier, JM|Verbeek, CJR|Lay, MC",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1604,2010,Modelling Thermal Stratification and Artificial De-stratification using DYRESM; Case study: 15-Khordad Reservoir,,"Etemad-Shahidi, A|Faghihi, M|Imberger, J",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH
1611,2004,Aerobic granular sludge technology: an alternative to activated sludge?,,"de Bruin, LMM|de Kreuk, MK|van der Roest, HFR|Uijterlinde, C|van Loosdrecht, MCM",WATER SCIENCE AND TECHNOLOGY
1626,2017,A life cycle assessment of conventional technologies for landfill leachate treatment, (C) 2017 Elsevier B.V. All rights reserved.,"Di Maria, F|Sisani, F",ENVIRONMENTAL TECHNOLOGY & INNOVATION
1642,2008,How not to calibrate a hydraulic network model,,"Hirrel, TD",JOURNAL AMERICAN WATER WORKS ASSOCIATION
1645,2011,Sensitivity analysis of two different shadow models implemented into EULAG CFD model: Madrid experiment,,"San Jose, R|Perez, JL|Gonzalez, RM",RESEARCH JOURNAL OF CHEMISTRY AND ENVIRONMENT
1651,2014,Kinetics and thermodynamic studies for removal of acid blue 129 from aqueous solution by almond shell,,"Fat'hi, MR|Asfaram, A|Hadipour, A|Roosta, M",JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING
1666,2017,Simulation study of overtaking in pedestrian flow using floor field cellular automaton model,,"Fu, ZJ|Xia, L|Yang, HT|Liu, XB|Ma, J|Luo, L|Yang, LZ|Chen, JM",INTERNATIONAL JOURNAL OF MODERN PHYSICS C
1672,2012,Life cycle assessment of TV sets in China: A case study of the impacts of CRT monitors, Elsevier Ltd. All rights reserved.,"Song, QB|Wang, ZS|Li, JH|Zeng, XL",WASTE MANAGEMENT
1687,2017,Uncertainty and sensitivity analysis to complex systems,,"Zhu, YY|Wang, QA|Li, W|Cai, X",INTERNATIONAL JOURNAL OF MODERN PHYSICS C
