AU,SO,copyright,title,year
"Winokur, J|Conrad, P|Sraj, I|Knio, O|Srinivasan, A|Thacker, WC|Marzouk, Y|Iskandarani, M",COMPUTATIONAL GEOSCIENCES,,A priori testing of sparse adaptive polynomial chaos expansions using an ocean general circulation model database,2013
"Borutzky, W|Dauphin-Tanguy, G|Kam, C",MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,,Relations between two bond graph approaches to sensitivity analysis and study of robustness,2006
"Painter, BDM|Milke, MW",GROUND WATER MONITORING AND REMEDIATION,,Comparison of factorial and scenario analysis methods for assessing uncertainty in the design of permeable reactive barriers,2007
"Huang, JC|Gao, JF|Yan, RH",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2016 Elsevier B.V. All rights reserved.,How can we reduce phosphorus export from lowland polders? Implications from a sensitivity analysis of a coupled model,2016
"Chen, G|Zhao, GZ|Chen, BAS",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Sensitivity analysis of coupled structural-acoustic systems subjected to stochastic excitation,2009
"Sankaran, A|Manne, JR",JOURNAL OF HYDRAULIC RESEARCH,,Probabilistic multi-objective optimal design of composite channels using particle swarm optimization,2013
"Weerts, AH|El Serafy, GY|Hummel, S|Dhondia, J|Gerritsen, H",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Application of generic data assimilation tools (DATools) for flood forecasting purposes,2010
"Tayfur, G|Barbetta, S|Moramarco, T",JOURNAL OF HYDROLOGIC ENGINEERING,,Genetic Algorithm-Based Discharge Estimation at Sites Receiving Lateral Inflows,2009
"Pan, M|Sahoo, AK|Wood, EF",REMOTE SENSING OF ENVIRONMENT, (C) 2013 Elsevier Inc All rights reserved.,Improving soil moisture retrievals from a physically-based radiative transfer model,2014
"Liu, S|Anh, V|McGree, J|Kozan, E|Wolff, RC",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,A new approach to spatial data interpolation using higher-order statistics,2015
"Ghaedi, M|Hassani, R|Dashtian, K|Shafie, G|Purkait, MK|Dehghan, H",DESALINATION AND WATER TREATMENT,,Adsorption of methyl red onto palladium nanoparticles loaded on activated carbon: experimental design optimization,2016
"Bates, SC|Cullen, A|Raftery, AE",ENVIRONMETRICS," Copyright (C) 2003 John Wiley Sons, Ltd.",Bayesian uncertainty assessment in multicompartment deterministic simulation models for environmental risk assessment,2003
"Gutierrez-Jurado, HA|Vivoni, ER",ECOHYDROLOGY," Copyright (c) 2011 John Wiley & Sons, Ltd.",Ecogeomorphic expressions of an aspect-controlled semiarid basin: I. Topographic analyses with high-resolution data sets,2013
"Li, M|Lowther, DA",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,A robust objective function for topology optimization,2011
"Pereira, CEL|Bittencourt, ML",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Topological sensitivity analysis in large deformation problems,2008
"Quddus, MR|Zhang, Y|Ray, AK",CHEMICAL ENGINEERING JOURNAL, (C) 2010 Published by Elsevier B.V.,Multi-objective optimization in solid oxide fuel cell for oxidative coupling of methane,2010
"Gaudard, L|Gabbi, J|Bauder, A|Romerio, F",WATER RESOURCES MANAGEMENT,,Long-term Uncertainty of Hydropower Revenue Due to Climate Change and Electricity Prices,2016
"Bourgin, F|Ramos, MH|Thirel, G|Andreassian, V",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Investigating the interactions between data assimilation and post-processing in hydrological ensemble forecasting,2014
"Cooke, RM|MacDonell, M",RISK ANALYSIS,,Regulating under uncertainty: Newsboy for exposure limits,2008
"Barabas, N|Adriaens, P|Goovaerts, P",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Modified polytopic vector analysis to identify and quantify a dioxin dechlorination signature in sediments. 1. Theory,2004
"Swain, JB|Patra, KC",JOURNAL OF HYDROLOGY, (C) 2017 Elsevier B.V. All rights reserved.,Streamflow estimation in ungauged catchments using regionalization techniques,2017
"Stupkiewicz, S",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Approximate response sensitivities for nonlinear problems in explicit dynamic formulation,2001
"van Dijk, NP|Langelaar, M|van Keulen, F",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2012 John Wiley & Sons, Ltd.",Explicit level-set-based topology optimization using an exact Heaviside function and consistent sensitivity analysis,2012
"Shen, ZY|Chen, L|Chen, T",HYDROLOGY AND EARTH SYSTEM SCIENCES,,"Analysis of parameter uncertainty in hydrological and sediment modeling using GLUE method: a case study of SWAT model applied to Three Gorges Reservoir Region, China",2012
"Pedersen, P",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2004 John Wiley Sons, Ltd.",Analytical stiffness matrices with Green-Lagrange strain measure,2005
"Sun, X|Park, J|Choi, JI|Rhee, GH",BUILDING AND ENVIRONMENT, Elsevier Ltd. All rights reserved.,Uncertainty quantification of upstream wind effects on single-sided ventilation in a building using generalized polynomial chaos method,2017
"Garcea, G|Liguori, FS|Leonetti, L|Magisano, D|Madeo, A",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2017 John Wiley & Sons, Ltd.",Accurate and efficient a posteriori account of geometrical imperfections in Koiter finite element analysis,2017
"Singh, PK|Bhunya, PK|Mishra, SK|Chaube, UC",JOURNAL OF HYDROLOGY, (c) 2007 Elsevier B.V. All rights reserved.,An extended hybrid model for synthetic unit hydrograph derivation,2007
"Mignolet, MP|Soize, C",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2008 Elsevier B.V. All rights reserved.,Stochastic reduced order models for uncertain geometrically nonlinear dynamical systems,2008
"Lim, DH|Lastoskie, CM",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY, (C) 2011 SETAC,"A DYNAMIC MULTIMEDIA ENVIRONMENTAL AND BIOACCUMULATION MODEL FOR BROMINATED FLAME RETARDANTS IN LAKE HURON AND LAKE ERIE, USA",2011
"Nguyen, TM|Richet, Y|Balayn, P|Bardet, L",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,,Uncertainties propagations in 1D hydraulic modeling,2015
"Chowdhury, R|Adhikari, S",ENGINEERING COMPUTATIONS,,Stochastic sensitivity analysis using preconditioning approach,2010
"Mannina, G|Cosenza, A|Viviani, G",DESALINATION AND WATER TREATMENT,,Sensitivity and uncertainty analysis of an integrated membrane bioreactor model,2016
"Hahn, C|Prasuhn, V|Stamm, C|Lazzarotto, P|Evangelou, MWH|Schulin, R",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Prediction of dissolved reactive phosphorus losses from small agricultural catchments: calibration and validation of a parsimonious model,2013
"Farewell, D|Henderson, R",LIFETIME DATA ANALYSIS,,Longitudinal perspectives on event history analysis,2010
"Falco, SA|Afonso, SMB|Vaz, LE",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Analysis and optimal design of plates and shells under dynamic loads - I: finite element and sensitivity analysis,2004
"Andrianakis, L|McCreesh, N|Vernon, I|McKinley, TJ|Oakley, JE|Nsubuga, RN|Goldstein, M|White, RG",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Efficient History Matching of a High Dimensional Individual-Based HIV Transmission Model,2017
"Singh, VK|Singh, JK|Kumar, A",BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT,,"Geotechnical study for optimizing the slope design of a deep open-pit mine, India",2005
"Micovic, Z|Schaefer, MG|Taylor, GH",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Uncertainty analysis for Probable Maximum Precipitation estimates,2015
"Rochoux, MC|Ricci, S|Lucor, D|Cuenot, B|Trouve, A",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,,Towards predictive data-driven simulations of wildfire spread - Part I: Reduced-cost Ensemble Kalman Filter based on a Polynomial Chaos surrogate model for parameter estimation,2014
"Sahu, RK|Panda, S|Padhan, S",APPLIED SOFT COMPUTING, (C) 2015 Elsevier B.V. All rights reserved.,A novel hybrid gravitational search and pattern search algorithm for load frequency control of nonlinear power system,2015
"Liao, QZ|Zhang, DX",WATER RESOURCES RESEARCH,,Probabilistic collocation method for strongly nonlinear problems: 3. Transform by time,2016
"Hu, C|Youn, BD",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Adaptive-sparse polynomial chaos expansion for reliability analysis and design of complex engineering systems,2011
"Geng, Z|He, YB|Wang, XL|Zhao, Q",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2003 Elsevier B.V. All rights reserved.,Bayesian method for learning graphical models with incompletely categorical data,2003
"Mao, DH|Cherkauer, KA|Flanagan, DC",WATER RESOURCES RESEARCH,,Development of a coupled soil erosion and large-scale hydrology modeling system,2010
"Milutinovic, S|Bertino, L",REMOTE SENSING OF ENVIRONMENT, (C) 2011 Elsevier Inc. All rights reserved.,Assessment and propagation of uncertainties in input terms through an ocean-color-based model of primary productivity,2011
"Wang, XD|Yang, M|Zhang, YS|Kiang, M",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,A screening approach for non-parametric global sensitivity analysis,2016
"Atkinson, SE|Sivapalan, M|Woods, RA|Viney, NR",ADVANCES IN WATER RESOURCES, (C) 2002 Elsevier Science Ltd. All rights reserved.,"Dominant physical controls on hourly flow predictions and the role of spatial variability: Mahurangi catchment, New Zealand",2003
"Papoutsis-Kiachagias, EM|Papadimitriou, DI|Giannakoglou, KC",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (C) 2011 John Wiley & Sons, Ltd.",Robust design in aerodynamics using third-order sensitivity analysis based on discrete adjoint. Application to quasi-1D flows,2012
"Ghorbanidehno, H|Kokkinaki, A|Kitanidis, PK|Darve, E",ADVANCES IN WATER RESOURCES,,Optimal estimation and scheduling in aquifer management using the rapid feedback control method,2017
"Arnell, M|Astals, S|Amand, L|Batstone, DJ|Jensen, PD|Jeppsson, U",WATER RESEARCH, Elsevier Ltd. All rights reserved.,"Modelling anaerobic co-digestion in Benchmark Simulation Model No. 2: Parameter estimation, substrate characterisation and plant-wide integration",2016
"Iritz, Z|Tourula, T|Lindroth, A|Heikinheimo, M",HYDROLOGICAL PROCESSES," Copyright (C) 2001 John Wiley & Sons, Ltd.",Simulation of willow short-rotation forest evaporation using a modified Shuttleworth-Wallace approach,2001
"Xie, X|Meng, S|Liang, S|Yao, Y",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Improving streamflow predictions at ungauged locations with real-time updating: application of an EnKF-based state-parameter estimation strategy,2014
"Besharati, SR|Dabbagh, V|Amini, H|Sarhan, AAD|Akbari, J|Hamdi, M|Ong, ZC",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,,"Multi-objective selection and structural optimization of the gantry in a gantry machine tool for improving static, dynamic, and weight and cost performance",2016
"Yu, C|Zhang, BX|Yao, YY|Meng, FH|Zheng, CM",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,A field demonstration of the entropy-weighted fuzzy DRASTIC method for groundwater vulnerability assessment,2012
"Kreissl, S|Pingen, G|Evgrafov, A|Maute, K",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Topology optimization of flexible micro-fluidic devices,2010
"Janssen, F|Schrum, C|Hubner, U|Backhaus, JO",CLIMATE RESEARCH,,Uncertainty analysis of a decadal simulation with a regional ocean model for the North Sea and Baltic Sea,2001
"Zhang, XP|Kang, Z|Li, M",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Topology optimization of electrode coverage of piezoelectric thin-walled structures with CGVF control for minimizing sound radiation,2014
"Jankoski, R|Romer, U|Schops, S",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Modeling of spatial uncertainties in the magnetic reluctivity,2017
"Raju, KS|Kumar, DN",JOURNAL OF HYDRO-ENVIRONMENT RESEARCH, Published by Elsevier B.V. All rights reserved.,Classification of microwatersheds based on morphological characteristics,2011
"Huang, YT|Pierson, D",WATER QUALITY RESEARCH JOURNAL OF CANADA,,Identifying parameter sensitivity in a water quality model of a reservoir,2012
"Liu, YZ|Chaubey, I|Bowling, LC|Bralts, VF|Engel, BA",WATER RESOURCES MANAGEMENT,,Sensitivity and Uncertainty Analysis of the L-THIA-LID 2.1 Model,2016
"Kirsch, U",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Reanalysis and sensitivity reanalysis by combined approximations,2010
"Pedersen, NL",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Optimization of holes in plates for control of eigenfrequencies,2004
"Crosetto, M|Ruiz, JAM|Crippa, B",REMOTE SENSING OF ENVIRONMENT, (C) 2001 Elsevier Science Inc. All rights reserved.,Uncertainty propagation in models driven by remotely sensed data,2001
"Kolakowski, P|Wiklo, M|Holnicki-Szulc, J",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,The virtual distortion method - a versatile reanalysis tool for structures and systems,2008
"Awotunde, AA|Horne, RN",WATER RESOURCES RESEARCH,,A wavelet approach to adjoint state sensitivity computation for steady state differential equations,2011
"Liou, JJ|Krstic, A|Jiang, YM|Cheng, KT",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,"Modeling, testing, and analysis for delay defects and noise effects in deep submicron devices",2003
"Pappenberger, F|Beven, KJ|Ratto, M|Matgen, P",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Multi-method global sensitivity analysis of flood inundation models,2008
"Tusek, AJ|Jurina, T|Curlin, M",ENVIRONMENTAL ENGINEERING SCIENCE,,Global Sensitivity Analysis of the Biological Part of the Integrated BTEX Bioremediation Model,2016
"Martinez, S|Paris, J|Colominas, I|Navarrina, F|Casteleiro, M",REVISTA INTERNACIONAL DE METODOS NUMERICOS PARA CALCULO Y DISENO EN INGENIERIA," Published by Elsevier Espana, S.L. All rights reserved.",Mixed optimization of power transmission structures: An application of the simulated annealing algorithm,2014
"Zhang, YQ|Liu, YN|Pau, G|Oladyshkin, S|Finsterle, S",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Evaluation of multiple reduced-order models to enhance confidence in global sensitivity analyses,2016
"Tafreshi, A",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, (C) 2002 Elsevier Science Ltd. All rights reserved.,Shape design sensitivity analysis of 2D anisotropic structures using the boundary element method,2002
"Gottsche, FM|Hulley, GC",REMOTE SENSING OF ENVIRONMENT, (c) 2012 Elsevier Inc. All rights reserved.,Validation of six satellite-retrieved land surface emissivity products over two land cover types in a hyper-arid region,2012
"Kalwij, IM|Peralta, RC",GROUND WATER,,Simulation/optimization modeling for robust pumping strategy design,2006
"Cecinati, F|de Niet, AC|Sawicka, K|Rico-Ramirez, MA",WATER,,Optimal Temporal Resolution of Rainfall for Urban Applications and Uncertainty Propagation,2017
"Martinez, FC|Cansino, AT|Garcia, MAA|Kalashnikov, V|Rojas, RL",MATHEMATICAL PROBLEMS IN ENGINEERING,,Mathematical Analysis for the Optimization of a Design in a Facultative Pond: Indicator Organism and Organic Matter,2014
"Appari, S|Janardhanan, VM|Bauri, R|Jayanti, S|Deutschmann, O",APPLIED CATALYSIS A-GENERAL, (C) 2013 Elsevier B.V. All rights reserved.,A detailed kinetic model for biogas steam reforming on Ni and catalyst deactivation due to sulfur poisoning,2014
"Sanadhya, P|Gironas, J|Arabi, M",HYDROLOGICAL PROCESSES," Copyright (c) 2013 John Wiley & Sons, Ltd.",Global sensitivity analysis of hydrologic processes in major snow-dominated mountainous river basins in Colorado,2014
"Pahlevani, F|Davis, L",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,"PARAMETER SENSITIVITY OF AN EDDY VISCOSITY MODEL: ANALYSIS, COMPUTATION AND ITS APPLICATION TO QUANTIFYING MODEL RELIABILITY",2013
"Afshar, A|Shafii, M|Bozorg-Haddad, O",JOURNAL OF HYDROINFORMATICS,,Optimizing multi-reservoir operation rules: an improved HBMO approach,2011
"Owen, AB|Prieur, C",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,On Shapley Value for Measuring Importance of Dependent Inputs,2017
"Van Buren, KL|Hemez, FM",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,,Achieving robust design through statistical effect screening,2016
"Srivastava, PW|Mittal, N",APPLIED MATHEMATICAL MODELLING, (C) 2010 Elsevier Inc. All rights reserved.,Optimum step-stress partially accelerated life tests for the truncated logistic distribution with censoring,2010
"Lima, CAM|Coelho, ALV|Eisencraft, M",COMPUTERS IN BIOLOGY AND MEDICINE, Elsevier Ltd. All rights reserved.,Tackling EEG signal classification with least squares support vector machines: A sensitivity analysis study,2010
"Konrad, W|Katul, G|Roth-Nebelsick, A|Grein, M",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,A reduced order model to analytically infer atmospheric CO2 concentration from stomatal and climate data,2017
"Zhao, JQ|Chen, Y|Hu, B|Yang, WJ",JOURNAL OF ENVIRONMENTAL ENGINEERING,,Mathematical Model for Sediment Wash-Off from Urban Impervious Surfaces,2016
"Kuuliala, L|Kujala, P|Suominen, M|Montewka, J",COLD REGIONS SCIENCE AND TECHNOLOGY, Published by Elsevier B.V.,Estimating operability of ships in ridged ice fields,2017
"Shi, J|Browne, M|Strickland, M|Flivik, G|Taylor, M",COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,,Sensitivity analysis of a cemented hip stem to implant position and cement mantle thickness,2014
"Lee, HA|Park, GJ",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A software development framework for structural optimization considering non linear static responses,2015
"Duan, ZY|Yan, J|Zhao, GZ",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Integrated optimization of the material and structure of composites based on the Heaviside penalization of discrete material model,2015
"Uddameri, V|Hernandez, EA|Singaraju, S",ENVIRONMENTAL EARTH SCIENCES,,"A successive steady-state model for simulating freshwater discharges and saltwater wedge profiles at Baffin Bay, Texas",2014
"Wu, TF|Luo, LC|Qin, BQ|Cui, GB|Yu, ZM|Yao, ZM",JOURNAL OF ENVIRONMENTAL SCIENCES,,"A vertically integrated eutrophication model and its application to a river-style reservoir - Fuchunjiang, China",2009
